MSME_ID,avg_consumption_last12,avg_consumption_last3,consumption_drop_pct,turnover,age,employees,loan_default,business_confidence,risk_label
MSME_0001,1398.69,1635.41,0.1692,457.25,12,11,0,2,0
MSME_0002,1144.69,857.9,-0.2505,262.59,10,12,0,2,1
MSME_0003,1459.08,1747.1,0.1974,455.91,13,9,0,1,0
MSME_0004,1809.21,2386.19,0.3189,694.57,18,13,0,3,0
MSME_0005,1106.34,1198.56,0.0834,423.63,10,11,0,4,0
MSME_0006,1106.35,1603.31,0.4492,420.14,12,5,0,5,0
MSME_0007,1831.69,1440.72,-0.2134,199.94,30,4,0,5,0
MSME_0008,1506.97,1007.92,-0.3312,207.91,13,6,0,1,1
MSME_0009,1012.21,541.86,-0.4647,99.23,12,11,0,5,1
MSME_0010,1417.02,1918.67,0.354,2320.59,0,6,0,3,0
MSME_0011,1014.63,1160.33,0.1436,116.3,7,5,0,1,1
MSME_0012,1013.71,979.35,-0.0339,201.76,11,11,0,3,0
MSME_0013,1296.78,1361.61,0.05,196.68,18,7,0,1,1
MSME_0014,434.69,303.69,-0.3014,987.25,11,11,0,5,0
MSME_0015,510.03,765.05,0.5,300.38,7,12,0,1,0
MSME_0016,975.08,987.08,0.0123,1404.93,7,6,0,2,0
MSME_0017,794.87,800.71,0.0073,205.72,28,9,0,4,0
MSME_0018,1325.7,1539.72,0.1614,533.25,20,7,0,5,0
MSME_0019,836.79,920.68,0.1003,174.98,12,10,0,4,0
MSME_0020,635.08,657.92,0.036,3446.62,11,12,0,5,0
MSME_0021,1786.26,1397.54,-0.2176,123.03,28,14,0,4,0
MSME_0022,1109.69,1218.29,0.0979,549.95,15,5,0,2,0
MSME_0023,1227.01,1779.79,0.4505,760.35,0,9,0,4,0
MSME_0024,630.1,829.44,0.3164,610.21,12,6,0,1,0
MSME_0025,982.25,1353.83,0.3783,335.19,25,12,0,4,0
MSME_0026,1244.37,1060.45,-0.1478,354.31,6,9,0,5,0
MSME_0027,739.6,541.83,-0.2674,421.5,27,4,0,3,0
MSME_0028,1350.28,1280.81,-0.0514,348.28,25,11,0,4,0
MSME_0029,959.74,953.92,-0.0061,1057.73,4,13,0,4,0
MSME_0030,1083.32,1358.0,0.2535,3679.47,7,8,0,4,0
MSME_0031,959.32,534.23,-0.4431,231.02,24,9,0,5,1
MSME_0032,1940.91,2644.27,0.3624,102.53,26,3,0,4,0
MSME_0033,1194.6,1123.52,-0.0595,369.34,13,7,0,5,0
MSME_0034,776.92,678.46,-0.1267,5322.56,22,3,0,5,0
MSME_0035,1529.02,1111.56,-0.273,180.61,29,12,0,3,1
MSME_0036,711.66,403.0,-0.4337,2077.91,12,12,0,1,1
MSME_0037,1283.55,1522.02,0.1858,2159.65,14,9,0,5,0
MSME_0038,416.13,415.44,-0.0017,231.92,22,15,0,2,0
MSME_0039,668.73,439.69,-0.3425,712.64,16,14,0,4,0
MSME_0040,1278.74,839.15,-0.3438,2055.75,14,3,0,2,0
MSME_0041,1495.39,1339.95,-0.1039,276.13,19,13,0,4,0
MSME_0042,1268.55,1772.48,0.3973,329.12,17,8,0,3,0
MSME_0043,1153.74,1055.79,-0.0849,225.5,17,10,0,5,1
MSME_0044,1079.56,652.28,-0.3958,146.24,1,7,1,1,1
MSME_0045,608.59,559.03,-0.0814,210.76,3,9,0,5,0
MSME_0046,912.06,831.64,-0.0882,118.64,29,10,0,4,0
MSME_0047,1015.74,310.59,-0.6942,417.42,0,8,0,1,1
MSME_0048,1622.85,1568.36,-0.0336,186.8,30,9,0,5,0
MSME_0049,1337.45,1233.48,-0.0777,509.68,3,7,0,1,0
MSME_0050,494.78,571.01,0.1541,85.12,17,8,0,4,1
MSME_0051,1329.63,1917.65,0.4422,561.65,4,11,0,3,0
MSME_0052,1045.97,1319.64,0.2616,928.46,18,10,0,3,0
MSME_0053,929.23,848.18,-0.0872,54.94,14,10,0,5,1
MSME_0054,1444.67,1016.14,-0.2966,586.43,27,3,0,2,1
MSME_0055,1612.4,2418.6,0.5,1377.01,7,7,0,4,0
MSME_0056,1572.51,1564.34,-0.0052,120.34,19,10,0,5,1
MSME_0057,864.31,850.04,-0.0165,2148.6,16,5,0,5,0
MSME_0058,1076.32,1048.3,-0.026,613.4,0,14,0,3,0
MSME_0059,1332.51,1371.84,0.0295,199.34,11,9,0,1,0
MSME_0060,1590.22,1501.02,-0.0561,381.55,25,12,0,4,0
MSME_0061,1008.33,843.55,-0.1634,705.09,18,7,0,1,0
MSME_0062,1125.74,949.32,-0.1567,435.29,14,9,0,4,0
MSME_0063,757.47,736.11,-0.0282,691.43,8,8,0,2,0
MSME_0064,721.52,609.06,-0.1559,160.67,6,12,0,3,0
MSME_0065,1525.01,1222.74,-0.1982,477.88,1,9,0,2,0
MSME_0066,1742.5,1754.01,0.0066,98.13,30,12,0,5,1
MSME_0067,1171.2,1073.11,-0.0837,360.96,28,3,0,3,0
MSME_0068,1601.41,2171.51,0.356,163.38,8,6,0,5,0
MSME_0069,1344.65,426.6,-0.6827,193.34,9,6,0,2,1
MSME_0070,941.95,1180.15,0.2529,1388.66,1,7,0,4,0
MSME_0071,1344.56,1736.53,0.2915,1201.48,18,13,0,5,0
MSME_0072,1815.21,838.0,-0.5383,741.84,10,6,0,1,1
MSME_0073,1185.67,1060.38,-0.1057,135.33,12,8,0,4,1
MSME_0074,1825.86,1619.79,-0.1129,294.0,9,8,0,4,0
MSME_0075,152.1,95.54,-0.3719,1357.09,13,14,0,2,1
MSME_0076,1528.76,1200.91,-0.2145,464.85,17,10,0,2,1
MSME_0077,1234.82,867.28,-0.2976,4102.41,18,9,0,3,0
MSME_0078,1080.4,1532.08,0.4181,597.84,21,9,0,3,0
MSME_0079,1236.7,1501.26,0.2139,488.85,8,5,0,1,0
MSME_0080,404.97,525.61,0.2979,296.16,24,11,0,4,0
MSME_0081,1112.13,1290.54,0.1604,461.07,6,14,0,1,0
MSME_0082,1342.85,936.95,-0.3023,346.38,27,7,0,1,1
MSME_0083,1791.16,1520.46,-0.1511,819.02,2,10,0,2,1
MSME_0084,992.69,1094.29,0.1023,1050.16,19,10,0,1,0
MSME_0085,876.6,591.24,-0.3255,183.83,5,10,0,1,1
MSME_0086,999.3,1157.44,0.1582,106.57,26,4,1,5,1
MSME_0087,1566.16,1440.74,-0.0801,64.32,20,9,0,3,0
MSME_0088,1331.5,1180.1,-0.1137,670.48,1,10,0,3,0
MSME_0089,988.1,1143.96,0.1577,133.84,28,8,0,4,1
MSME_0090,1405.31,1533.28,0.0911,46.86,5,7,0,3,0
MSME_0091,1238.83,1102.26,-0.1102,595.01,2,5,0,4,1
MSME_0092,1587.46,2015.81,0.2698,4880.48,15,17,0,5,0
MSME_0093,919.18,652.37,-0.2903,400.99,29,12,0,3,0
MSME_0094,1068.94,1212.16,0.134,933.08,7,10,0,5,0
MSME_0095,1043.16,1176.97,0.1283,437.83,1,8,0,3,0
MSME_0096,614.59,554.74,-0.0974,365.44,16,14,0,3,0
MSME_0097,1318.45,1399.58,0.0615,1011.39,8,5,0,5,0
MSME_0098,1304.42,870.34,-0.3328,301.79,29,11,0,1,1
MSME_0099,1202.05,1455.69,0.211,527.1,11,9,0,1,0
MSME_0100,1106.17,1032.91,-0.0662,556.52,2,9,0,1,1
MSME_0101,633.85,538.34,-0.1507,206.83,10,6,0,1,1
MSME_0102,1031.74,1281.68,0.2423,1087.94,0,10,0,3,0
MSME_0103,1062.91,854.49,-0.1961,338.67,22,6,0,2,1
MSME_0104,879.09,551.97,-0.3721,189.47,12,7,0,5,1
MSME_0105,1135.49,670.89,-0.4092,689.87,14,9,0,2,1
MSME_0106,1361.62,1540.68,0.1315,164.27,25,6,0,2,0
MSME_0107,1954.47,1289.74,-0.3401,414.96,4,14,0,4,0
MSME_0108,1269.83,1801.51,0.4187,399.77,20,12,0,1,0
MSME_0109,1303.02,598.76,-0.5405,1194.99,29,10,0,3,1
MSME_0110,1170.22,1643.12,0.4041,648.52,16,7,0,1,0
MSME_0111,432.49,446.66,0.0328,393.46,30,10,0,1,0
MSME_0112,1189.39,1136.85,-0.0442,913.94,30,10,0,2,0
MSME_0113,1224.09,1032.85,-0.1562,1620.04,24,4,0,4,0
MSME_0114,2185.3,2359.65,0.0798,704.73,22,8,0,1,0
MSME_0115,1123.06,1090.03,-0.0294,407.63,23,9,0,5,0
MSME_0116,1320.62,1658.47,0.2558,108.65,24,9,0,5,1
MSME_0117,1186.12,1196.26,0.0086,139.06,5,8,0,1,1
MSME_0118,732.53,745.4,0.0176,297.31,27,7,0,2,0
MSME_0119,1657.13,1473.35,-0.1109,219.31,20,6,0,2,1
MSME_0120,1500.77,1449.39,-0.0342,334.63,21,11,0,3,0
MSME_0121,1516.41,1602.77,0.057,426.94,10,6,0,4,0
MSME_0122,836.25,461.99,-0.4475,685.19,17,9,0,2,1
MSME_0123,1761.12,1132.32,-0.357,375.97,3,9,0,3,0
MSME_0124,639.26,745.26,0.1658,656.22,2,9,0,5,0
MSME_0125,1434.74,1467.33,0.0227,430.3,12,7,0,5,0
MSME_0126,2076.18,1939.16,-0.066,55.95,22,9,0,5,1
MSME_0127,803.79,791.41,-0.0154,157.7,8,8,0,1,1
MSME_0128,973.48,1038.6,0.0669,349.29,20,11,0,4,0
MSME_0129,1239.86,1047.76,-0.1549,120.34,5,8,0,3,1
MSME_0130,998.61,784.33,-0.2146,735.04,25,9,0,4,0
MSME_0131,579.73,596.52,0.029,1864.5,29,10,0,1,0
MSME_0132,1227.43,902.66,-0.2646,1364.8,27,9,0,3,0
MSME_0133,775.08,838.68,0.0821,325.89,11,7,0,3,0
MSME_0134,1389.44,770.24,-0.4456,1791.35,1,10,0,2,1
MSME_0135,832.23,1029.71,0.2373,468.09,2,8,0,4,0
MSME_0136,1819.97,1998.6,0.0981,287.99,2,9,0,4,0
MSME_0137,886.7,925.72,0.044,218.46,27,12,0,2,1
MSME_0138,1071.18,1312.91,0.2257,298.13,11,8,0,5,0
MSME_0139,1525.41,2130.03,0.3964,273.64,14,10,0,1,0
MSME_0140,707.65,872.96,0.2336,478.39,8,9,0,4,0
MSME_0141,1290.98,671.03,-0.4802,473.7,30,7,0,2,1
MSME_0142,1722.86,1137.27,-0.3399,404.66,22,7,1,3,1
MSME_0143,557.01,458.86,-0.1762,624.49,7,15,0,2,0
MSME_0144,1273.85,1256.69,-0.0135,1326.96,10,13,0,5,0
MSME_0145,1303.95,1446.62,0.1094,1042.68,15,6,0,1,1
MSME_0146,1512.73,1208.01,-0.2014,91.39,25,13,0,5,1
MSME_0147,705.22,724.04,0.0267,31.38,26,9,0,3,1
MSME_0148,671.82,531.51,-0.2088,1026.92,24,8,0,3,0
MSME_0149,1408.78,1165.23,-0.1729,102.83,21,5,0,3,1
MSME_0150,1318.79,828.64,-0.3717,322.22,3,6,0,3,0
MSME_0151,1300.2,974.1,-0.2508,125.2,27,6,0,2,1
MSME_0152,1338.58,859.47,-0.3579,66.55,0,5,0,3,1
MSME_0153,927.99,683.03,-0.264,693.3,23,8,0,3,0
MSME_0154,1292.9,1607.61,0.2434,861.91,6,10,0,2,0
MSME_0155,1317.23,978.24,-0.2573,226.67,1,8,0,3,1
MSME_0156,914.26,1371.39,0.5,30.23,23,7,0,5,0
MSME_0157,1946.31,2147.42,0.1033,233.63,27,8,0,5,1
MSME_0158,1389.53,1425.95,0.0262,596.93,4,5,0,4,0
MSME_0159,723.48,553.76,-0.2346,91.94,6,10,0,5,1
MSME_0160,1462.62,1689.44,0.1551,484.62,3,11,0,1,0
MSME_0161,810.13,677.34,-0.1639,397.3,4,12,0,1,1
MSME_0162,1514.83,1530.74,0.0105,720.03,23,12,0,1,0
MSME_0163,1663.44,2495.16,0.5,454.67,0,9,0,2,0
MSME_0164,871.73,833.36,-0.044,152.46,0,11,0,5,1
MSME_0165,1585.35,2009.14,0.2673,1334.85,14,10,0,1,0
MSME_0166,1365.11,1097.83,-0.1958,344.29,19,9,0,4,0
MSME_0167,1528.82,1484.87,-0.0287,392.56,18,4,0,2,0
MSME_0168,1958.72,2786.67,0.4227,158.66,28,6,0,4,0
MSME_0169,1101.84,907.1,-0.1767,258.97,9,8,0,5,0
MSME_0170,898.51,1287.66,0.4331,166.53,27,8,0,3,0
MSME_0171,844.19,976.68,0.1569,339.36,17,9,0,4,0
MSME_0172,873.68,733.35,-0.1606,2234.36,27,6,0,3,1
MSME_0173,1169.16,1330.62,0.1381,102.32,2,8,0,2,1
MSME_0174,1336.46,1634.68,0.2231,80.35,10,8,0,4,0
MSME_0175,1310.68,1488.21,0.1355,1756.66,14,8,0,4,0
MSME_0176,1530.87,899.3,-0.4126,327.23,30,8,0,2,1
MSME_0177,1205.2,962.01,-0.2018,206.63,26,11,0,2,1
MSME_0178,1781.41,1635.55,-0.0819,1141.28,29,8,0,1,1
MSME_0179,1094.14,1051.89,-0.0386,220.17,10,10,0,5,0
MSME_0180,2288.07,2597.34,0.1352,2504.91,16,8,0,4,0
MSME_0181,1450.27,1485.69,0.0244,794.67,16,6,0,4,0
MSME_0182,857.14,553.85,-0.3538,247.67,5,9,0,2,1
MSME_0183,771.64,829.55,0.075,3488.78,4,13,0,2,0
MSME_0184,1392.99,1577.76,0.1326,220.14,7,5,0,5,0
MSME_0185,1110.61,1243.83,0.1199,847.33,1,10,0,2,0
MSME_0186,1485.6,1857.29,0.2502,544.19,15,8,0,3,0
MSME_0187,1389.3,1651.15,0.1885,1482.88,19,10,0,3,0
MSME_0188,1170.87,1281.86,0.0948,1922.75,23,11,0,3,0
MSME_0189,861.28,828.95,-0.0375,416.55,11,7,0,3,0
MSME_0190,594.06,335.5,-0.4352,189.92,5,12,0,5,1
MSME_0191,1021.39,1110.67,0.0874,639.04,0,7,0,4,0
MSME_0192,1542.56,1591.8,0.0319,204.85,30,10,0,3,1
MSME_0193,1285.64,1347.21,0.0479,3021.13,3,10,0,2,0
MSME_0194,701.7,463.7,-0.3392,462.45,16,8,0,3,0
MSME_0195,1269.27,900.85,-0.2903,279.97,12,8,0,5,0
MSME_0196,1354.13,1683.57,0.2433,485.26,17,9,0,2,0
MSME_0197,846.46,821.16,-0.0299,104.89,4,13,0,3,0
MSME_0198,1261.49,1451.19,0.1504,152.69,29,8,0,4,0
MSME_0199,1223.28,1207.48,-0.0129,1339.99,23,5,0,2,0
MSME_0200,742.81,733.48,-0.0126,209.16,23,8,0,2,1
MSME_0201,1343.11,1631.31,0.2146,141.61,26,8,0,4,0
MSME_0202,1424.31,1212.08,-0.149,689.97,2,8,1,2,1
MSME_0203,1633.22,1639.8,0.004,1320.42,10,6,0,3,0
MSME_0204,1621.52,1401.69,-0.1356,827.95,12,8,0,2,0
MSME_0205,648.93,565.46,-0.1286,1092.31,3,7,0,3,0
MSME_0206,824.87,744.62,-0.0973,189.28,25,8,0,4,0
MSME_0207,1406.01,1455.97,0.0355,97.34,26,8,0,1,1
MSME_0208,1405.51,1209.18,-0.1397,1810.46,13,12,0,4,0
MSME_0209,1406.02,1819.3,0.2939,292.17,21,11,0,3,0
MSME_0210,2741.09,2073.22,-0.2437,313.93,10,9,0,5,0
MSME_0211,1428.36,1333.06,-0.0667,1522.63,26,12,0,4,0
MSME_0212,1654.23,1439.29,-0.1299,703.61,9,8,0,5,0
MSME_0213,1581.6,2122.1,0.3417,636.44,18,12,0,5,0
MSME_0214,1460.56,1503.12,0.0291,3515.73,17,5,0,3,0
MSME_0215,1073.89,1329.44,0.238,211.98,5,7,0,3,0
MSME_0216,1503.59,915.1,-0.3914,1020.29,26,9,0,1,1
MSME_0217,890.87,932.53,0.0468,427.1,28,13,0,2,0
MSME_0218,1105.27,1328.99,0.2024,527.73,14,7,0,4,0
MSME_0219,1005.85,1006.43,0.0006,1860.25,20,7,0,3,0
MSME_0220,1232.75,1536.46,0.2464,670.37,29,9,0,4,0
MSME_0221,2125.86,1808.43,-0.1493,691.11,9,11,0,5,0
MSME_0222,453.09,603.67,0.3323,1179.1,4,10,0,2,0
MSME_0223,1474.5,2211.76,0.5,280.07,25,14,0,1,0
MSME_0224,554.91,493.48,-0.1107,174.3,28,9,0,4,0
MSME_0225,1011.23,878.38,-0.1314,141.91,4,12,0,2,1
MSME_0226,1635.58,2197.15,0.3433,56.47,9,11,0,1,1
MSME_0227,1225.71,1685.22,0.3749,3153.31,27,12,0,4,0
MSME_0228,768.9,653.02,-0.1507,133.86,4,14,0,2,1
MSME_0229,913.88,799.6,-0.125,323.35,2,7,0,3,0
MSME_0230,1471.84,1338.72,-0.0904,305.88,22,13,0,4,0
MSME_0231,907.85,584.56,-0.3561,548.62,5,8,0,2,1
MSME_0232,1286.58,965.37,-0.2497,912.09,3,10,0,1,1
MSME_0233,1218.23,888.05,-0.271,953.82,17,6,0,2,1
MSME_0234,939.36,740.26,-0.2119,225.19,27,9,0,3,1
MSME_0235,2057.58,1998.58,-0.0287,341.34,8,11,0,4,0
MSME_0236,1453.57,1509.61,0.0386,535.17,16,10,0,4,0
